Video ID,Publication Date,Percentage of Negative Comments,Number of Danmu,Number of Negative Comments
BV11d4y1n77g,2/13/2023 20:05,1.45631068,206,3
BV11f4y1x779,4/8/2021 9:11,24.19354839,248,60
BV11h4y147JX,5/30/2023 17:32,6.666666667,120,8
BV11M411r7Gw,11/22/2022 16:30,3.398058252,206,7
BV11N411172f,6/1/2023 11:15,14.28571429,63,9
BV11s411q7F1,4/28/2016 17:54,6.756756757,148,10
BV11z4y147ef,7/22/2023 10:46,5.583333333,1200,67
BV12N4y167Yg,11/4/2023 0:25,13.04347826,69,9
BV12P411D7Xn,6/4/2023 14:03,7,100,7
BV1314y1S7AZ,6/11/2023 12:07,14.81481481,81,12
BV13s411v7pB,6/24/2016 12:06,0,104,0
BV13S4y1X763,11/24/2021 20:33,16.25,80,13
BV13v4y1E7wq,4/19/2023 11:01,14.28571429,98,14
BV13V4y1k7E1,5/17/2023 3:20,5.952380952,84,5
BV13Y411m7BL,1/2/2023 14:38,1.111111111,90,1
BV144411875x,4/24/2019 16:39,4,125,5
BV14h411a7qy,6/15/2021 19:53,2.839116719,317,9
BV14P411Q7aU,5/25/2023 14:34,11.68831169,154,18
BV14s411H7dj,7/12/2018 18:42,5.813953488,86,5
BV14T4y1A7Tw,9/12/2020 10:51,12.90322581,217,28
BV14x411D7Q1,4/17/2017 9:12,20.80536913,447,93
BV14y4y1D7nw,2/4/2023 7:42,0.78125,128,1
BV1584y1T7hd,4/7/2023 16:07,4.280155642,257,11
BV15K4y1x7sZ,7/19/2020 7:02,10.16666667,600,61
BV15u411s7Zt,5/25/2023 13:29,4.864864865,185,9
BV15x411s7uK,9/14/2017 2:26,12.97297297,370,48
BV15X4y1f78D,3/14/2023 12:19,11.5942029,69,8
BV165411W7ct,6/15/2020 11:27,13.56589147,258,35
BV16F411h7fV,11/18/2021 8:02,22.47191011,89,20
BV16V411377k,8/14/2023 13:49,8.666666667,150,13
BV17m4y177KU,7/18/2023 5:32,0,93,0
BV17q4y1s7W4,6/26/2021 13:02,1.327433628,226,3
BV17u4y1V7vu,12/2/2023 10:42,0.793650794,126,1
BV17z4y1B7Rj,5/27/2023 8:18,6.097560976,82,5
BV1814y1v7NR,8/11/2023 23:51,0.333333333,600,2
BV18d4y137R1,9/11/2022 13:52,1.136363636,176,2
BV18s411q7iR,4/26/2016 14:14,1.038062284,289,3
BV18z4y1L71s,9/21/2023 19:50,3.89197776,1259,49
BV19D4y1T7vg,3/3/2023 18:45,1.127819549,266,3
BV19i4y1G7WT,6/26/2020 6:02,10.16949153,118,12
BV19L411T7b5,11/21/2021 13:30,1.5,1200,18
BV19X4y1b7Y5,6/1/2023 15:45,2.027027027,148,3
BV1a84y1c7XQ,3/15/2023 20:16,1.449275362,138,2
BV1Ab4y1C74j,6/26/2021 0:17,2.325581395,86,2
BV1AB4y1H7Cg,9/19/2022 12:16,4.545454545,66,3
BV1AE411t7tQ,3/4/2020 19:37,1.52817574,1047,16
BV1Am4y127wB,4/20/2023 0:34,14.50381679,131,19
BV1AP411F7yV,1/4/2023 18:15,1.851851852,108,2
BV1as411i77R,5/30/2016 14:24,4.666666667,600,28
BV1aX4y1G7A7,3/28/2021 12:27,6.719817768,878,59
BV1B4411A7u1,7/5/2019 18:00,2.818991098,674,19
BV1BE411S737,10/4/2019 13:38,5.078125,256,13
BV1BG411h7Lj,8/1/2022 13:32,0,71,0
BV1bg4y1M7b3,4/20/2023 21:46,6.41025641,156,10
BV1bh4y1H76i,4/19/2023 18:31,8,75,6
BV1bs411t79G,9/23/2016 22:49,30.88235294,136,42
BV1c4411y7aw,9/4/2019 19:45,10.90909091,110,12
BV1C5411L7Vv,11/8/2020 16:59,7,600,42
BV1cc411s7wB,4/7/2023 22:04,10.06711409,596,60
BV1CP4y187wV,10/6/2021 6:12,4.411764706,136,6
BV1Ct411h7hH,1/17/2019 10:50,4.938271605,81,4
BV1cv4y1J7ST,4/27/2023 8:40,1.5625,64,1
